source,web-scraper-order,price,size,location,classification,roads,price per foot
Property Finder,1746263742-1476,95000,284,Sitra,RHB,1,31.1
Property Finder,1746265530-2179,67671,202,Hamala,RHA,1,31.1
Bahrain Finder,1746267736-86,120001,358.1,Diraz,RB,2,31.1
Bahrain Finder,1746268033-2247,76113,227,Damistan,RHA,2,31.1
Bahrain Finder,1746268041-2316,80000,239,Sitra,RB,1,31.1
Bahrain Finder,1746268050-2361,69900,208.6,Hamalah,RHA,1,31.1
Bahrain Finder,1746268054-2413,68000,203.3,Hamalah,RHA,1,31.1
Bahrain Finder,1746268087-2641,115000,344,Hidd,RA,2,31.1
Bahrain Finder,1746268175-3266,126000,376.8,Sanad,RA,1,31.1
Property Finder,1746260011-19,57000,171,Hamala,RHA,1,31
Property Finder,1746260084-47,100000,300,Karrana,RB,1,31
Property Finder,1746260118-61,103000,309,Al Markh,RB,1,31
Property Finder,1746260133-67,163171,489,Arad,RA,1,31
Property Finder,1746260173-83,104000,312,Sanad,RA,1,31
Property Finder,1746260354-154,240252,720,Saar,RB,1,31
Property Finder,1746260437-186,108270,324,Jidhafs,RB,1,31
Property Finder,1746260517-217,106578,319,A'Ali,RA,1,31
Property Finder,1746261420-570,142000,426,Diraz,RA,1,31
Property Finder,1746261506-603,115800,347,Tubli,RA,1,31
Property Finder,1746261993-795,68000,204,Hamala,RHA,1,31
Property Finder,1746262023-806,106579,319,A'Ali,RA,1,31
Property Finder,1746262148-855,132806,398,Bu Kowarah,RA,1,31
Property Finder,1746262277-904,261608,784,Bu Quwah,RA,1,31
Property Finder,1746262550-1011,53722.624899999995,161,Hamala,RHA,1,31
Property Finder,1746262552-1012,68070.90359999999,204,Hamala,RHA,1,31
Property Finder,1746262590-1026,86500,259,Diyar Al Muharraq,RA,1,31
Property Finder,1746263583-1414,69806,209,Hamala,RHA,1,31
Property Finder,1746264130-1626,152500,457,Galali,RA,1,31
Property Finder,1746264241-1671,108000,324,Barbar,RA,2,31
Property Finder,1746264576-1803,307990,923,Busaiteen,RA,1,31
Property Finder,1746264591-1809,240000,720,Saar,RB,1,31
Property Finder,1746264663-1838,142182,426,Diraz,RA,1,31
Property Finder,1746264867-1918,100000,300,Barbar,RA,1,31
Property Finder,1746264884-1924,261600,784,Saraya 2,RA,1,31
Property Finder,1746265276-2079,240252,720,Shakhura,RB,1,31
Property Finder,1746265353-2110,101440,304,Bu Quwah,RA,1,31
Property Finder,1746265392-2125,131204,393,Karrana,RB,1,31
Property Finder,1746265475-2158,110000,330,Janabiya,RB,1,31
Bahrain Finder,1746267743-150,106812,320.1,A'ali,RA,1,31
Bahrain Finder,1746267747-182,156030,467.6,Riffa,RA,1,31
Bahrain Finder,1746267755-232,120393,360.8,South Sehla,RB,1,31
Bahrain Finder,1746267755-233,105678,316.7,South Sehla,RB,2,31
Bahrain Finder,1746267755-257,115855,347.2,Tubli,RA,1,31
Bahrain Finder,1746267763-292,221633,664.2,Qadam,RA,2,31
Bahrain Finder,1746267775-388,116000,345.3,Al Hajar,RA,2,31
Bahrain Finder,1746267779-415,110048,329.8,Markh,RA,1,31
Bahrain Finder,1746267788-476,128969,386.5,Buqwa,RA,1,31
Bahrain Finder,1746267788-480,114420,342.9,Hamalah,RHA,2,31
Bahrain Finder,1746267796-543,104176,312.2,Sitra,RB,1,31
Bahrain Finder,1746267800-575,53723,161,Hamalah,RHA,1,31
Bahrain Finder,1746267804-604,150158,450,Tubli,RB,2,31
Bahrain Finder,1746267804-611,53890,161.5,Hamalah,RHA,1,31
Bahrain Finder,1746267808-647,131104,392.9,Muharraq,RHA,3,31
Bahrain Finder,1746267816-706,111150,333.1,Sitra,RB,2,31
Bahrain Finder,1746267844-902,101440,304,Musala,RB,1,31
Bahrain Finder,1746267893-1278,102207,306.3,Sitra,RA,1,31
Bahrain Finder,1746267910-1372,142383,426.7,Buqwa,RA,1,31
Bahrain Finder,1746267918-1446,131438,393.9,Barbar,RB,1,31
Bahrain Finder,1746267918-1451,80000,239.8,Diraz,RHB,3,31
Bahrain Finder,1746267927-1511,164000,491,Jidhafs,RB,2,31
Bahrain Finder,1746267931-1529,101206,303.3,Dair,RA,1,31
Bahrain Finder,1746267931-1530,99805,299.1,Dair,RA,1,31
Bahrain Finder,1746267931-1531,101273,303.5,Dair,RA,1,31
Bahrain Finder,1746267931-1539,100873,302.3,Dair,RA,1,31
Bahrain Finder,1746267931-1540,100572,301.4,Dair,RA,1,31
Bahrain Finder,1746267931-1544,104143,312.1,Dair,RA,1,31
Bahrain Finder,1746267935-1571,87358,261.8,Hamalah,RHA,2,31
Bahrain Finder,1746267943-1630,113486,340.1,Karranah,RB,1,31
Bahrain Finder,1746267947-1647,128969,386.5,Sar,RA,1,31
Bahrain Finder,1746267951-1695,152761,457.8,A'ali,RA,1,31
Bahrain Finder,1746267960-1742,100000,301.7,Daih,RB,1,31
Bahrain Finder,1746267960-1752,115000,347.5,Arad,RA,2,31
Bahrain Finder,1746267968-1803,120593,361.4,Arad,RA,3,31
Bahrain Finder,1746267981-1895,68000,203.8,Damistan,RB,1,31
Bahrain Finder,1746267990-1954,85000,253.7,Malkiya,RA,1,31
Bahrain Finder,1746267999-2005,56059,168,Hamalah,RHA,1,31
Bahrain Finder,1746268003-2038,141816,425,Zinj,RB,1,31
Bahrain Finder,1746268007-2063,144151,432,Sanad,RA,1,31
Bahrain Finder,1746268007-2065,106579,319.4,A'ali,RA,1,31
Bahrain Finder,1746268016-2149,126466,379,Karzakkan,RA,2,31
Bahrain Finder,1746268025-2188,113519,340.2,Jablat Hibshi,RA,1,31
Bahrain Finder,1746268025-2189,113986,341.6,Jablat Hibshi,RA,2,31
Bahrain Finder,1746268025-2190,113786,341,Jablat Hibshi,RA,1,31
Bahrain Finder,1746268025-2191,115254,345.4,Jablat Hibshi,RA,1,31
Bahrain Finder,1746268050-2382,142183,426.1,Diraz,RA,2,31
Bahrain Finder,1746268054-2398,113486,340.1,Karzakkan,RB,1,31
Bahrain Finder,1746268054-2404,57060,171,Hamalah,RHA,1,31
Bahrain Finder,1746268083-2620,114000,342,Hidd,RA,2,31
Bahrain Finder,1746268103-2760,143384,429.7,Diraz,RA,2,31
Bahrain Finder,1746268111-2816,75000,220.8,Diyar Al Muharraq,RHA,2,31
Bahrain Finder,1746268115-2846,68372,204.9,Hamalah,RHA,1,31
Bahrain Finder,1746268115-2855,125198,375.2,Barbar,RA,1,31
Bahrain Finder,1746268115-2861,70140,210.2,Hamalah,RHA,1,31
Bahrain Finder,1746268115-2862,104677,313.7,Galali,RA,1,31
Bahrain Finder,1746268115-2866,108214,324.3,Maqaba,RA,2,31
Bahrain Finder,1746268124-2919,117423,351.9,Sitra,RB,1,31
Bahrain Finder,1746268128-2944,100105,300,Barbar,RA,1,31
Bahrain Finder,1746268128-2946,135809,407,Maqaba,RA,1,31
Bahrain Finder,1746268136-2991,102541,307.3,Daih,RA,1,31
Bahrain Finder,1746268140-3028,136477,409,Sar,RA,2,31
Bahrain Finder,1746268145-3066,108580,325.4,Maqaba,RA,2,31
Bahrain Finder,1746268145-3075,110950,332.5,Maqaba,RA,2,31
Bahrain Finder,1746268166-3217,102541,307.3,Daih,RB,1,31
Bahrain Finder,1746268175-3264,104000,312.9,Sanad,RA,1,31
Bahrain Finder,1746268179-3298,103742,310.9,Malkiya,RB,2,31
Bahrain Finder,1746268191-3387,164000,491,Musala,RB,2,31
Bahrain Finder,1746268195-3418,174517,523,Shakhura,RA,1,31
Bahrain Finder,1746268195-3424,67671,202.8,Hamalah,RHA,1,31
Bahrain Finder,1746268205-3499,73611,220.6,Malkiya,RHB,1,31
Bahrain Finder,1746268233-3695,104176,312.2,Dair,RA,1,31
Property Finder,1746264285-1688,120000,361,Busaiteen,RB,3,30.9
Bahrain Finder,1746267906-1341,124464,373,Maqaba,RA,2,30.9
Bahrain Finder,1746267977-1867,159777,479.6,Barbar,RA,1,30.9
Bahrain Finder,1746268011-2118,120000,360.7,Shahrakkan,RA,2,30.9
Bahrain Finder,1746268050-2376,240000,720,Shakhura,RB,2,30.9
Bahrain Finder,1746268054-2420,68000,204.3,Hamalah,RHA,1,30.9
Bahrain Finder,1746268087-2633,108000,324.9,Barbar,RA,2,30.9
Property Finder,1746260310-137,100000,302,Eker,RA,1,30.8
Property Finder,1746262355-935,60000,181,Hamala,RHA,1,30.8
Property Finder,1746263329-1315,115000,347,Arad,RA,1,30.8
Property Finder,1746265045-1988,111000,335,Salmabad,RB,1,30.8
Bahrain Finder,1746267804-592,135000,407.4,Riffa Al Shamali,RB,1,30.8
Bahrain Finder,1746267820-715,105000,317,Tubli,RB,1,30.8
Bahrain Finder,1746267910-1398,90000,287,Adhari,RHB,1,30.8
Bahrain Finder,1746267914-1408,120000,361.8,Sayah,RB,1,30.8
Bahrain Finder,1746267939-1594,120000,361.8,Busaiteen,RB,1,30.8
Bahrain Finder,1746268041-2303,105027,317,Tubli,RB,1,30.8
Property Finder,1746261959-781,170000,514,Shakhura,RB,1,30.7
Property Finder,1746264574-1802,66000,200,Hamala,RHA,1,30.7
Bahrain Finder,1746267763-293,91000,275.8,A'ali,RB,2,30.7
Bahrain Finder,1746267792-524,115000,347.5,Arad,RB,2,30.7
Bahrain Finder,1746267939-1592,115000,347.5,Arad,RA,2,30.7
Bahrain Finder,1746267981-1899,100000,302.8,Al Eker,RA,1,30.7
Bahrain Finder,1746267999-2011,91999,278.3,Nuwaydirat,RHB,1,30.7
Bahrain Finder,1746268007-2079,106000,320,Arad,RA,1,30.7
Property Finder,1746260274-122,125000,379,Busaiteen,RA,1,30.6
Property Finder,1746261217-490,53000,161,Hamala,RHA,1,30.6
Property Finder,1746261226-494,53000,161,Hamala,RHA,1,30.6
Property Finder,1746265009-1973,58000,176,Malkiyah,RHA,1,30.6
Bahrain Finder,1746267973-1823,61000,185,Malkiya,RHA,1,30.6
Bahrain Finder,1746268078-2589,120090,364,Sayah,RB,1,30.6
Bahrain Finder,1746268195-3416,60000,182,Shahrakkan,RHA,1,30.6
Property Finder,1746260644-267,69000,210,Hamala,RHA,1,30.5
Property Finder,1746261100-445,116000,353,Saar,RA,1,30.5
Property Finder,1746262459-975,99869,304,Hidd,RA,1,30.5
Property Finder,1746263017-1193,116350,354,Saraya 2,RA,1,30.5
Property Finder,1746263324-1313,99870,304,Hidd,RA,1,30.5
Property Finder,1746263486-1375,165000,502,Al Thurya villa Diyar Al Muharraq,RA,1,30.5
Property Finder,1746264445-1751,179000,545,Sanad,RB,1,30.5
Bahrain Finder,1746267755-237,107000,326.3,Sitra,RA,1,30.5
Bahrain Finder,1746267771-366,47000,143,Malkiya,RHB,1,30.5
Bahrain Finder,1746267836-848,80001,244,Hamalah,RHA,2,30.5
Bahrain Finder,1746267877-1147,53000,161.5,Hamalah,RHA,1,30.5
Bahrain Finder,1746267901-1313,115431,351.6,Al Hajar,RA,2,30.5
Bahrain Finder,1746267931-1536,99869,304.2,Hidd,RA,1,30.5
Bahrain Finder,1746267931-1538,99869,304.2,Hidd,RA,1,30.5
Bahrain Finder,1746267990-1961,85030,259,Diyar Al Muharraq,RA,1,30.5
Bahrain Finder,1746268007-2081,106000,325.1,Qalaah,RA,1,30.5
Bahrain Finder,1746268124-2918,115000,352.1,Al Qurayyah,RA,1,30.5
Bahrain Finder,1746268187-3373,85030,259,Diyar Al Muharraq,RB,1,30.5
Bahrain Finder,1746268195-3419,124426,379,Busaiteen,RA,1,30.5
Bahrain Finder,1746268218-3575,165000,502.1,Diyar Al Muharraq,RA,1,30.5
Property Finder,1746261468-589,145000,443,Sanad,RA,1,30.4
Property Finder,1746264231-1667,118914,364,Galali,RA,1,30.4
Bahrain Finder,1746267784-463,115000,352,Sar,RB,2,30.4
Bahrain Finder,1746267910-1389,125001,381.6,Samaheej,RA,3,30.4
Bahrain Finder,1746267943-1635,90000,275.4,Salmaniya,RHA,1,30.4
Bahrain Finder,1746267955-1705,58999,180.1,Hamalah,RHA,2,30.4
Property Finder,1746260361-157,137000,420,Tubli,RB,1,30.3
Property Finder,1746262013-802,60000,184,Malkiyah,RHA,1,30.3
Property Finder,1746262671-1057,60000,184,Eker,RB,1,30.3
Property Finder,1746263868-1525,105000,322,Tubli,RB,1,30.3
Bahrain Finder,1746267955-1726,127000,389.8,Hidd,RA,2,30.3
Bahrain Finder,1746268066-2498,118914,364.6,Galali,RA,3,30.3
Bahrain Finder,1746268111-2838,106000,324.9,Barbar,RA,2,30.3
Bahrain Finder,1746268140-3024,145000,445.4,Riffa,RA,4,30.3
Bahrain Finder,1746268187-3359,60000,184,Al Eker,RB,1,30.3
Property Finder,1746261044-422,105200,324,A'Ali,RA,1,30.2
Property Finder,1746263076-1216,130000,400,Marassi Residences,RA,1,30.2
Bahrain Finder,1746267734-62,140399,431.9,Janabiyah,RB,1,30.2
Bahrain Finder,1746267767-340,52500,161.5,Hamalah,RHA,1,30.2
Bahrain Finder,1746267767-341,52500,161.5,Hamalah,RHA,1,30.2
Bahrain Finder,1746268037-2294,180480,555.2,Busaiteen,RA,2,30.2
Bahrain Finder,1746268070-2535,117091,360.2,Galali,RA,3,30.2
Bahrain Finder,1746268140-3022,97522,300,Damistan,RA,1,30.2
Property Finder,1746259982-7,180000,555,Busaiteen,RA,1,30.1
Property Finder,1746260106-56,52151,161,Hamala,RHA,1,30.1
Property Finder,1746260509-214,68685,212,Hamala,RHA,1,30.1
Property Finder,1746260988-400,115906,358,Samaheej,RB,1,30.1
Property Finder,1746261005-407,113904,352,Samaheej,RB,1,30.1
Property Finder,1746261010-409,116520,360,Samaheej,RB,1,30.1
Property Finder,1746261012-410,109124,337,Samaheej,RB,1,30.1
Property Finder,1746261017-412,122268,378,Samaheej,RB,1,30.1
Property Finder,1746261156-466,137499,425,Maqabah,RB,1,30.1
Property Finder,1746261963-783,133000,411,Busaiteen,RA,1,30.1
Property Finder,1746262741-1085,122031,377,Arad,RA,1,30.1
Property Finder,1746262946-1165,77307,239,Hamala,RHA,1,30.1
Property Finder,1746263117-1232,79000,244,Hamala,RHA,1,30.1
Property Finder,1746263520-1389,105207,325,Tubli,RB,1,30.1
Property Finder,1746264825-1901,55155,170,Hamala,RHA,1,30.1
Property Finder,1746265232-2062,125261,387,Barbar,RA,1,30.1
Property Finder,1746265465-2154,77306,239,Hamala,RHA,1,30.1
Property Finder,1746260220-101,145540,450,Bu Quwah,RB,1,30
Property Finder,1746260506-213,68523,212,Hamala,RHA,1,30
Property Finder,1746260561-234,251231,778,Jidhafs,RB,1,30
Property Finder,1746260674-278,104109,322,Saraya 2,RHA,1,30
Property Finder,1746260723-297,87188,270,Malkiyah,RA,1,30
Property Finder,1746260768-315,105271,326,Saar,RA,1,30
Property Finder,1746260839-342,116993,362,Galali,RA,1,30
Property Finder,1746260848-346,143505,444,Bu Quwah,RB,1,30
Property Finder,1746260890-362,52313,162,Hamala,RHA,1,30
Property Finder,1746260930-377,70000,217,Hamala,RHA,1,30
Property Finder,1746260980-397,116423,360,Samaheej,RB,1,30
Property Finder,1746260983-398,115099,356,Samaheej,RB,1,30
Property Finder,1746261000-405,114744,355,Samaheej,RB,1,30
Property Finder,1746261007-408,117263,363,Samaheej,RB,1,30
Property Finder,1746261015-411,119556,370,Samaheej,RB,1,30
Property Finder,1746261081-437,233503,723,Saar,RA,1,30
Property Finder,1746261151-464,156971,486,Maqabah,RB,1,30
Property Finder,1746261153-465,142149,440,Maqabah,RB,1,30
Property Finder,1746261207-486,52000,161,Hamala,RHA,1,30
Property Finder,1746261555-622,119318,369,Tashan,RB,1,30
Property Finder,1746261833-732,116767,361,Sitra,RB,1,30
Property Finder,1746261944-775,118931,368,Sanad,RA,1,30
Property Finder,1746261961-782,131751,408,Busaiteen,RA,1,30
Property Finder,1746262478-983,312618,968,Arad,RB,1,30
Property Finder,1746262515-997,107209,332,Karrana,RA,1,30
Property Finder,1746262582-1023,58447.977,181,Hamala,RHA,1,30
Property Finder,1746262597-1029,115000,356,Malkiyah,RB,1,30
Property Finder,1746262722-1077,116703,361,Arad,RA,1,30
Property Finder,1746262724-1078,111410,345,Arad,RA,1,30
Property Finder,1746262729-1080,129846,402,Arad,RA,1,30
Property Finder,1746262734-1082,116418,360,Arad,RA,1,30
Property Finder,1746262826-1118,123162,381,A'Ali,RB,1,30
Property Finder,1746262831-1120,113668,352,A'Ali,RB,1,30
Property Finder,1746262929-1158,206022,638,Saar,RA,1,30
Property Finder,1746262956-1169,64500,200,Hamala,RHA,1,30
Property Finder,1746263183-1258,200823,621,Jid Al Haj,RA,1,30
Property Finder,1746263567-1407,194000,601,Tubli,RB,1,30
Property Finder,1746263579-1412,162000,502,A'Ali,RB,1,30
Property Finder,1746263586-1415,66553,206,Hamala,RHA,1,30
Property Finder,1746263591-1417,550000,1704,Nabih Saleh,RHA,1,30
Property Finder,1746263637-1435,117575,364,Tubli,RB,1,30
Property Finder,1746263708-1463,255753,792,Eker,RB,1,30
Property Finder,1746263735-1473,228627,708,Tubli,RA,1,30
Property Finder,1746263774-1489,112000,347,Tubli,RB,1,30
Property Finder,1746263789-1495,123161,381,A'Ali,RB,1,30
Property Finder,1746263792-1496,113667,352,A'Ali,RB,1,30
Property Finder,1746264157-1637,218000,676,Galali,RA,1,30
Property Finder,1746264275-1684,217000,671,Galali,RA,1,30
Property Finder,1746264343-1711,146670,454,Bu Quwah,RB,1,30
Property Finder,1746264409-1737,122439,379,Al Daih,RA,1,30
Property Finder,1746264416-1740,114154,354,Al Daih,RA,1,30
Property Finder,1746264479-1765,104626,324,Sitra,RB,1,30
Property Finder,1746264552-1794,137241,425,Maqabah,RA,1,30
Property Finder,1746264555-1795,138533,429,Budaiya,RB,1,30
Property Finder,1746264564-1798,182579,565,Budaiya,RB,1,30
Property Finder,1746264629-1824,105271,326,Maqabah,RA,1,30
Property Finder,1746264632-1825,109243,338,Maqabah,RA,1,30
Property Finder,1746264636-1827,113667,352,A'Ali,RA,1,30
Property Finder,1746264729-1864,98500,305,Hidd,RB,1,30
Property Finder,1746264837-1906,112214,347,Arad,RA,1,30
Property Finder,1746264912-1935,138600,429,Karrana,RB,1,30
Property Finder,1746264958-1953,110761,343,Eker,RB,1,30
Property Finder,1746265052-1991,149189,462,Bani Jamra,RB,1,30
Property Finder,1746265266-2075,144119,446,Maqabah,RA,1,30
Property Finder,1746265312-2094,121192,375,Janabiya,RA,1,30
Property Finder,1746265518-2174,104626,324,Al Dair,RHB,1,30
Bahrain Finder,1746267729-11,98814,306,Diraz,RB,1,30
Bahrain Finder,1746267729-20,83636,259,Galali,RB,2,30
Bahrain Finder,1746267731-22,92064,285.1,Hamalah,RHA,2,30
Bahrain Finder,1746267731-40,141633,438.6,Al Qurayyah,RB,1,30
Bahrain Finder,1746267731-42,171535,531.2,Sar,RA,1,30
Bahrain Finder,1746267731-44,165981,514,Shakhura,RB,1,30
Bahrain Finder,1746267734-54,82409,255.2,Hamalah,RHA,2,30
Bahrain Finder,1746267734-61,54251,168,Hamalah,RA,1,30
Bahrain Finder,1746267734-76,113829,352.5,Shakhura,RB,1,30
Bahrain Finder,1746267734-77,258336,800,Amwaj Island,RA,1,30
Bahrain Finder,1746267734-80,112118,347.2,Tubli,RA,1,30
Bahrain Finder,1746267736-81,106499,329.8,Diyar Al Muharraq,RA,1,30
Bahrain Finder,1746267736-91,218229,675.8,Hamalah,RA,1,30
Bahrain Finder,1746267736-92,189812,587.8,Riffa,RA,1,30
Bahrain Finder,1746267736-100,298701,925,Riffa,RB,1,30
Bahrain Finder,1746267747-186,67361,208.6,Hamalah,RHA,1,30
Bahrain Finder,1746267751-210,54251,168,Hamalah,RHA,1,30
Bahrain Finder,1746267751-224,221846,687,Busaiteen,RA,1,30
Bahrain Finder,1746267751-225,217648,674,Guful,RB,3,30
Bahrain Finder,1746267751-227,125261,387.9,Barbar,RA,1,30
Bahrain Finder,1746267755-234,59902,185.5,Hamalah,RHA,1,30
Bahrain Finder,1746267755-236,121483,376.2,Sitra,RB,1,30
Bahrain Finder,1746267771-352,141730,438.9,Samaheej,RA,2,30
Bahrain Finder,1746267771-353,233503,723.1,Sar,RA,1,30
Bahrain Finder,1746267775-390,129000,401.3,Al Hajar,RA,2,30
Bahrain Finder,1746267775-391,150000,464.5,Al Hajar,RA,2,30
Bahrain Finder,1746267775-408,54025,167.3,Hamalah,RHA,1,30
Bahrain Finder,1746267779-424,173925,538.6,Tubli,RA,2,30
Bahrain Finder,1746267779-425,145540,450.7,Al Qurayyah,RA,1,30
Bahrain Finder,1746267784-457,103334,320,Maqaba,RA,1,30
Bahrain Finder,1746267788-471,183419,568,Abu Saiba'a,RB,2,30
Bahrain Finder,1746267788-472,142020,439.8,Abu Saiba'a,RB,2,30
Bahrain Finder,1746267788-473,194559,602.5,Abu Saiba'a,RB,2,30
Bahrain Finder,1746267788-475,164851,510.5,Buqwa,RA,1,30
Bahrain Finder,1746267788-479,117381,363.5,Maqaba,RA,1,30
Bahrain Finder,1746267792-505,120901,374.4,Al Qurayyah,RA,2,30
Bahrain Finder,1746267792-520,167369,518.3,Abu Saiba'a,RHB,1,30
Bahrain Finder,1746267792-528,112800,349.4,Hidd,RB,2,30
Bahrain Finder,1746267796-547,161137,499,Musala,RB,1,30
Bahrain Finder,1746267796-558,150028,464.6,Tubli,RB,2,30
Bahrain Finder,1746267800-569,98975,306.5,Hidd,RB,1,30
Bahrain Finder,1746267800-572,86510,267.9,Hamalah,RHA,2,30
Bahrain Finder,1746267800-573,106499,329.8,Diyar Al Muharraq,RHA,2,30
Bahrain Finder,1746267800-577,91709,284,Sitra,RHB,1,30
Bahrain Finder,1746267800-589,68007,210.6,Hamalah,RHA,1,30
Bahrain Finder,1746267800-590,119997,371.6,Al Hajar,RA,2,30
Bahrain Finder,1746267804-616,52313,162,Hamalah,RHA,1,30
Bahrain Finder,1746267812-667,161783,501,Sar,RA,1,30
Bahrain Finder,1746267812-678,118512,367,Maqshaa,RB,1,30
Bahrain Finder,1746267820-727,106467,329.7,Hamalah,RHA,2,30
Bahrain Finder,1746267824-765,131493,407.2,A'ali,RB,2,30
Bahrain Finder,1746267828-783,86446,267.7,Hamalah,RHA,2,30
Bahrain Finder,1746267828-788,119190,369.1,Maqaba,RA,2,30
Bahrain Finder,1746267828-789,140664,435.6,Maqaba,RA,2,30
Bahrain Finder,1746267844-893,71203,220.5,Hamalah,RHA,1,30
Bahrain Finder,1746267844-912,121256,375.5,Maqaba,RA,2,30
Bahrain Finder,1746267861-1029,198596,615,Arad,RA,2,30
Bahrain Finder,1746267861-1032,121805,377.2,Barbar,RA,1,30
Bahrain Finder,1746267865-1053,120002,372.1,Bu Kowarah,RA,2,30
Bahrain Finder,1746267869-1074,136272,422,Buqwa,RB,1,30
Bahrain Finder,1746267869-1075,136595,423,Buqwa,RB,2,30
Bahrain Finder,1746267869-1077,90321,279.7,Guful,RB,1,30
Bahrain Finder,1746267869-1079,156132,483.5,Diyar Al Muharraq,RA,2,30
Bahrain Finder,1746267873-1121,131299,406.6,Maqaba,RA,2,30
Bahrain Finder,1746267873-1122,107306,332.3,Maqaba,RA,1,30
Bahrain Finder,1746267873-1127,230016,712.3,Adhari,RB,2,30
Bahrain Finder,1746267881-1167,52152,161.5,Hamalah,RHA,1,30
Bahrain Finder,1746267881-1188,111407,345,Arad,RA,1,30
Bahrain Finder,1746267889-1246,103011,319,Tubli,RB,2,30
Bahrain Finder,1746267893-1273,56737,175.7,Hamalah,RHA,1,30
Bahrain Finder,1746267893-1274,55284,171.2,Hamalah,RHA,1,30
Bahrain Finder,1746267901-1328,105853,327.8,Al Eker,RA,1,30
Bahrain Finder,1746267914-1409,69460,215.1,Hamalah,RHA,1,30
Bahrain Finder,1746267918-1441,72500,225.7,Damistan,RHA,1,30
Bahrain Finder,1746267931-1521,156939,486,Hamalah,RB,2,30
Bahrain Finder,1746267931-1526,132203,409.4,Dair,RA,3,30
Bahrain Finder,1746267931-1541,119093,368.8,Dair,RA,2,30
Bahrain Finder,1746267935-1565,158554,491,Jidhafs,RB,2,30
Bahrain Finder,1746267935-1572,106951,331.2,Maqaba,RA,1,30
Bahrain Finder,1746267939-1595,85315,264.2,Damistan,RHA,2,30
Bahrain Finder,1746267943-1613,120000,361.8,Busaiteen,RB,1,30
Bahrain Finder,1746267943-1623,248261,768.8,Busaiteen,RA,3,30
Bahrain Finder,1746267943-1639,98749,305.8,Damistan,RB,1,30
Bahrain Finder,1746267947-1642,186422,577.3,Sanad,RA,2,30
Bahrain Finder,1746267947-1643,136918,424,Diyar Al Muharraq,RA,2,30
Bahrain Finder,1746267951-1671,63841,197.7,Hamalah,RHA,1,30
Bahrain Finder,1746267955-1730,58578,181.4,Hamalah,RHA,2,30
Bahrain Finder,1746267960-1737,127876,396,Muharraq,RA,1,30
Bahrain Finder,1746267964-1786,77000,239.4,Hamalah,RHA,2,30
Bahrain Finder,1746267968-1791,84000,261.8,Hamalah,RHA,2,30
Bahrain Finder,1746267968-1806,108986,337.5,Arad,RA,2,30
Bahrain Finder,1746267968-1808,116251,360,Arad,RA,2,30
Bahrain Finder,1746267968-1812,120449,373,Arad,RA,2,30
Bahrain Finder,1746267973-1826,85994,266.3,Hamalah,RHA,2,30
Bahrain Finder,1746267977-1875,113022,350,Karzakkan,RB,2,30
Bahrain Finder,1746267981-1885,140793,436,Maqaba,RA,2,30
Bahrain Finder,1746267981-1889,74000,230,Damistan,RA,1,30
Bahrain Finder,1746267986-1923,143506,444.4,Buqwa,RB,2,30
Bahrain Finder,1746267986-1924,145540,450.7,Buqwa,RB,2,30
Bahrain Finder,1746267986-1925,146670,454.2,Buqwa,RB,2,30
Bahrain Finder,1746267986-1932,155970,483,Barbar,RB,2,30
Bahrain Finder,1746267990-1960,64584,200,Diyar Al Muharraq,RHA,1,30
Bahrain Finder,1746267994-1980,127230,394,Barbar,RB,1,30
Bahrain Finder,1746267999-2014,101332,313.8,Tubli,RB,1,30
Bahrain Finder,1746267999-2023,77307,239.4,Hamalah,RHA,2,30
Bahrain Finder,1746267999-2025,84540,261.8,Hamalah,RHA,2,30
Bahrain Finder,1746268007-2061,130782,405,Qalaah,RA,2,30
Bahrain Finder,1746268007-2074,150900,467.3,East Riffa,RB,2,30
Bahrain Finder,1746268007-2076,114798,355.5,Riffa,RB,2,30
Bahrain Finder,1746268007-2080,98232,304.2,Qalaah,RA,1,30
Bahrain Finder,1746268011-2120,108178,335,Qalaah,RHB,2,30
Bahrain Finder,1746268016-2135,51667,160,Hamalah,RHA,1,30
Bahrain Finder,1746268020-2156,112150,347.3,Hidd,RA,2,30
Bahrain Finder,1746268025-2186,163430,506.1,Buqwa,RB,2,30
Bahrain Finder,1746268025-2198,121676,376.8,Sanad,RA,2,30
Bahrain Finder,1746268025-2199,128038,396.5,Muharraq,RA,2,30
Bahrain Finder,1746268025-2205,112215,347.5,Arad,RA,2,30
Bahrain Finder,1746268029-2235,159361,493.5,Buqwa,RB,2,30
Bahrain Finder,1746268033-2260,89901,278.4,Jidhafs,RB,1,30
Bahrain Finder,1746268033-2261,91160,282.3,Jidhafs,RB,1,30
Bahrain Finder,1746268033-2262,114895,355.8,Musala,RA,1,30
Bahrain Finder,1746268033-2263,107339,332.4,Musala,RA,1,30
Bahrain Finder,1746268033-2264,116251,360,Musala,RA,2,30
Bahrain Finder,1746268037-2284,109244,338.3,Maqaba,RA,1,30
Bahrain Finder,1746268037-2285,105272,326,Maqaba,RA,1,30
Bahrain Finder,1746268037-2296,98232,304.2,Hidd,RA,1,30
Bahrain Finder,1746268058-2438,313555,971,Diraz,RB,2,30
Bahrain Finder,1746268058-2440,151740,469.9,Barbar,RB,2,30
Bahrain Finder,1746268058-2441,151740,469.9,Barbar,RB,1,30
Bahrain Finder,1746268058-2442,122516,379.4,Arad,RA,1,30
