source,web-scraper-order,price,size,location,classification,roads,price per foot
Property Finder,1746261704-681,77000,182,Barbar,RA,1,39.3
Bahrain Finder,1746268132-2968,150000,355,Maqaba,RA,2,39.3
Property Finder,1746262098-836,83958.41999999998,200,Busaiteen,RHA,1,39
Property Finder,1746263309-1307,103818,247,Busaiteen,RHA,1,39
Property Finder,1746265059-1994,891562,2123,Gudaibiya,RB,1,39
Bahrain Finder,1746267743-147,35000,83.3,Muharraq,RHB,2,39
Bahrain Finder,1746268058-2444,103816,247.3,Sayah,RHA,1,39
Bahrain Finder,1746268218-3564,70000,165.2,Salmabad,RHB,1,39
Property Finder,1746261748-698,75000,179,Busaiteen,RHA,1,38.9
Property Finder,1746262602-1031,90000,216,Al Burhama,RB,1,38.7
Bahrain Finder,1746267918-1459,150000,359.9,Bu Kowarah,RA,1,38.7
Bahrain Finder,1746268205-3478,86100,207.1,Buqwa,RHA,2,38.7
Property Finder,1746260534-223,200000,481,Manama,RHB,1,38.6
Property Finder,1746261391-558,86100,207,Bu Quwah,RHA,1,38.6
Property Finder,1746264795-1890,86100,207,Saraya 2,RHA,1,38.6
Bahrain Finder,1746267792-513,75000,180.4,Sitra,RB,1,38.6
Bahrain Finder,1746267889-1230,69844,168.1,Jid Ali,RB,2,38.6
Property Finder,1746261951-778,190630,460,Al Bahair,RB,1,38.5
Bahrain Finder,1746267889-1247,74999,181,Sitra,RHB,2,38.5
Property Finder,1746260897-365,140000,339,Zinj,RB,1,38.4
Property Finder,1746262683-1062,66134,160,Salmabad,RB,1,38.4
Bahrain Finder,1746267865-1054,75000,182.3,Barbar,RA,2,38.3
Bahrain Finder,1746268091-2680,100000,242.9,Busaiteen,RHA,2,38.3
Property Finder,1746260096-52,100000,244,Tubli,RB,1,38.1
Property Finder,1746261716-686,211000,514,Galali,RA,1,38.1
Property Finder,1746263713-1465,139644,341,Hidd,RB,1,38
Bahrain Finder,1746267731-27,68308,167,Bu Kowarah,RB,2,38
Bahrain Finder,1746267824-769,155800,380.9,Sitra,RB,1,38
Bahrain Finder,1746267869-1080,215928,527.9,Busaiteen,RA,1,38
Bahrain Finder,1746268007-2070,209261,511.6,Busaiteen,RA,1,38
Bahrain Finder,1746268078-2592,210120,513.7,Galali,RA,1,38
Bahrain Finder,1746268149-3081,209260,511.6,Busaiteen,RA,1,38
Bahrain Finder,1746268153-3140,215927,527.9,Busaiteen,RA,1,38
Bahrain Finder,1746267796-555,99837,244.9,Guful,RB,2,37.9
Bahrain Finder,1746267808-645,138909,341.4,Hidd,RB,1,37.8
Bahrain Finder,1746267820-735,61000,150,Bani Jamrah,RHA,1,37.8
Property Finder,1746261677-671,189312,469,Tubli,RA,1,37.5
Bahrain Finder,1746267931-1537,75000,185.9,Barbar,RA,2,37.5
Bahrain Finder,1746267840-887,85000,212,Guful,RB,2,37.3
Bahrain Finder,1746268120-2892,65083,162.1,Barbar,RHA,1,37.3
Property Finder,1746260708-292,68000,170,Sitra,RB,1,37.2
Property Finder,1746261660-664,210245,527,Busaiteen,RA,1,37.1
Property Finder,1746261658-663,203753,511,Busaiteen,RA,1,37
Property Finder,1746263127-1236,141385,355,Maqabah,RA,1,37
Bahrain Finder,1746267736-87,307304,771.6,Bu Ghazal,RA,1,37
Bahrain Finder,1746267856-998,127446,320,Buqwa,RA,2,37
Bahrain Finder,1746267889-1248,145000,363.9,Daih,RHB,2,37
Bahrain Finder,1746268111-2834,140000,352,Busaiteen,RA,1,37
Bahrain Finder,1746268136-2994,63723,160,Salmabad,RB,1,37
Bahrain Finder,1746267910-1384,62000,155.7,Bani Jamrah,RHA,1,36.9
Property Finder,1746264263-1679,95000,240,Saraya 2,RHA,1,36.8
Bahrain Finder,1746267852-972,74985,189.3,Malkiya,RB,1,36.8
Property Finder,1746260070-42,73000,185,Barbar,RA,1,36.7
Property Finder,1746264646-1831,73000,185,Maameer,RHB,1,36.7
Bahrain Finder,1746267792-530,30000,75.9,Manama,RHB,1,36.7
Bahrain Finder,1746268003-2052,95022,240.8,Buqwa,RHA,2,36.7
Property Finder,1746261545-619,185000,469,Tubli,RA,1,36.6
Property Finder,1746262486-986,140000,355,Maqabah,RA,2,36.6
Bahrain Finder,1746267947-1641,74813,189.9,Sitra,RB,2,36.6
Property Finder,1746261983-791,95000,242,Busaiteen,RHA,1,36.5
Bahrain Finder,1746267943-1622,73098,185.8,Barbar,RA,1,36.5
Bahrain Finder,1746267947-1666,73000,185.8,Barbar,RA,1,36.5
Bahrain Finder,1746267964-1781,95000,240.8,Buqwa,RHA,2,36.5
Bahrain Finder,1746267812-673,129000,328.8,Maqshaa,RB,2,36.4
Bahrain Finder,1746267960-1739,86002,220,Muharraq,RHA,2,36.3
Property Finder,1746261323-531,72000,185,Barbar,RA,1,36.2
Property Finder,1746265343-2106,140000,359,Bu Kowarah,RA,1,36.2
Property Finder,1746264178-1646,140000,360,Bu Kowarah,RA,1,36.1
Bahrain Finder,1746268213-3542,70000,180.1,Barbar,RHB,2,36.1
Property Finder,1746260178-85,124000,320,Sehla,RA,1,36
Bahrain Finder,1746267755-255,141051,364,Busaiteen,RB,2,36
Bahrain Finder,1746267784-458,80020,206.5,Malkiya,RA,2,36
Bahrain Finder,1746267820-722,72037,185.9,Barbar,RA,2,36
Bahrain Finder,1746267828-797,152095,392.5,Janabiyah,RA,1,36
Bahrain Finder,1746268136-3006,150352,388,Busaiteen,RA,1,36
Bahrain Finder,1746268166-3228,94706,244.4,Sayah,RA,2,36
Property Finder,1746264687-1847,70000,181,Arad,RHA,1,35.9
Bahrain Finder,1746267840-885,160000,414,Manama,RHB,2,35.9
Bahrain Finder,1746268041-2315,86000,222.7,Buqwa,RHA,1,35.9
Property Finder,1746262282-906,117000,304,Busaiteen,RB,1,35.8
Property Finder,1746263176-1255,116000,301,A'Ali,RA,1,35.8
Bahrain Finder,1746268115-2857,60000,155.7,Bani Jamrah,RHA,1,35.8
Bahrain Finder,1746267734-55,150002,390,Salmabad,RB,1,35.7
Bahrain Finder,1746267734-59,117000,304.3,Busaiteen,RB,1,35.7
Bahrain Finder,1746267881-1163,80000,208.2,Buqwa,RHA,1,35.7
Bahrain Finder,1746267931-1546,75000,195,Karzakkan,RB,1,35.7
Property Finder,1746261265-509,77000,201,Shahrakan,RHB,1,35.6
Property Finder,1746264149-1634,135000,352,Busaiteen,RB,1,35.6
Bahrain Finder,1746267763-311,115000,300.1,Jablat Hibshi,RA,1,35.6
Bahrain Finder,1746267763-312,115000,300.1,Jablat Hibshi,RA,1,35.6
Bahrain Finder,1746267964-1775,231998,605.8,Busaiteen,RB,1,35.6
Bahrain Finder,1746268003-2042,77001,201.1,Buqwa,RHA,1,35.6
Bahrain Finder,1746268003-2049,66063,172.4,Buqwa,RHB,1,35.6
Bahrain Finder,1746267889-1222,115048,301.5,Riffa,RA,1,35.5
Bahrain Finder,1746267935-1576,84000,226.8,Sanabis,RHB,1,35.5
Property Finder,1746264311-1698,69000,181,Arad,RHA,1,35.4
Property Finder,1746265358-2112,85000,223,Dumistan,RB,1,35.4
Property Finder,1746260159-77,65000,171,Karzakkan,RHA,1,35.3
Property Finder,1746261295-521,45171,119,Muharraq,RA,1,35.3
Property Finder,1746264987-1965,74000,195,Karzakkan,RB,1,35.3
Bahrain Finder,1746267836-837,76000,200,Hamalah,RHA,1,35.3
Bahrain Finder,1746267836-846,85000,223.5,Damistan,RB,1,35.3
Bahrain Finder,1746267906-1352,230055,605.8,Sayah,RB,1,35.3
Bahrain Finder,1746268153-3125,149822,394.3,Barbar,RA,,35.3
Bahrain Finder,1746268218-3584,85113,224,Jidhafs,RHB,1,35.3
Property Finder,1746264670-1841,154000,406,Shahrakan,RHB,1,35.2
Property Finder,1746265547-2186,42835,113,Muharraq,RA,1,35.2
Bahrain Finder,1746267973-1842,65000,171.5,Buqwa,RHA,1,35.2
Property Finder,1746261981-790,68000,180,Busaiteen,RHA,1,35.1
Property Finder,1746260345-150,200124,531,Saar,RA,1,35
Property Finder,1746260904-368,187804,498,Busaiteen,RA,1,35
Property Finder,1746261075-435,148925,395,Maqabah,RA,1,35
Property Finder,1746261244-500,192000,510,Janabiya,RA,1,35
Property Finder,1746261325-532,161720,429,Karrana,RB,1,35
Property Finder,1746261547-620,1702601,4519,Janabiya,RG,1,35
Property Finder,1746261733-693,188000,499,Busaiteen,RA,1,35
Property Finder,1746262961-1171,158343,420,Saar,RG,1,35
Property Finder,1746263022-1195,70000,186,Malkiyah,RHA,1,35
Property Finder,1746263249-1284,175938,467,Busaiteen,RB,1,35
Property Finder,1746263268-1292,162752,432,Busaiteen,RB,2,35
Property Finder,1746264550-1793,147719,392,Saar,RA,1,35
Property Finder,1746264788-1887,189500,503,Shakhura,RB,1,35
Property Finder,1746264985-1964,271252,720,Saar,RB,1,35
