web-scraper-order,web-scraper-start-url,price,size,location,classification,roads,price per foot
"1746267729-1","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 121,318","417.9","Sadad","RB","1","27"
"1746267729-2","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 239,996","959.1","Jurdab","RA","1","23.2"
"1746267729-3","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 444,101","2947","Damistan","RG","2","14"
"1746267729-4","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 641,203","3309.4","Janabiyah","RG","1","18"
"1746267729-5","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 105,001","367","Tubli","RB","1","26.6"
"1746267729-6","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 85,001","279","Diraz","RHB","2","28.3"
"1746267729-7","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 164,167","517","Jablat Hibshi","RA","2","29.5"
"1746267729-8","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 94,998","332.3","Sadad","RA","1","26.6"
"1746267729-9","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 102,001","381.9","Riffa","RB","2","24.8"
"1746267729-10","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 47,900","167.2","Hamalah","RHA","1","26.6"
"1746267729-11","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 98,814","306","Diraz","RB","1","30"
"1746267729-12","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 199,295","529","Sayah","B3*","1","35"
"1746267729-13","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 184,414","489.5","Sayah","B3*","1","35"
"1746267729-14","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 105,000","300","Samaheej","RHB","1","32.5"
"1746267729-15","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 108,000","347.2","Tubli","RA","1","28.9"
"1746267729-16","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 134,722","521.5","Damistan","SP","1","24"
"1746267729-17","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 101,000","350.2","Sadad","RB","1","26.7"
"1746267729-18","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 205,000","999.9","Al Hajar","BD","1","19.2"
"1746267729-19","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 49,500","165.4","Hamalah","RHA","1","28"
"1746267729-20","https://bahrainfinder.bh/en/search-results/page/124/?type%5B0%5D=land&status%5B0%5D","BD 83,636","259","Galali","RB","2","30"
"1746267731-21","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 131,738","437.1","Barbar","RHA","2","28"
"1746267731-22","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 92,064","285.1","Hamalah","RHA","2","30"
"1746267731-23","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 255,236","912","A'ali","B4","1","26"
"1746267731-24","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 95,000","324","Budaiya","RB","2","25.8"
"1746267731-25","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 262,469","1625.6","Karzakkan","Undefined","1","15"
"1746267731-26","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 89,906","257","Al Qurayyah","RHB","1","32.5"
"1746267731-27","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 68,308","167","Bu Kowarah","RB","2","38"
"1746267731-28","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 127,618","456","Musala","RB","2","26"
"1746267731-29","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 114,185","408","Musala","RB","2","26"
"1746267731-30","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 111,946","400","Musala","RB","1","26"
"1746267731-31","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 338,657","1573.1","Sar","RA","1","20"
"1746267731-32","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 271,417","764.1","Buqwa","B4","2","33"
"1746267731-33","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 1,003,899","2664.7","Sar","BC","2","35"
"1746267731-34","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 842,744","4349.6","Jasrah","RG","1","18"
"1746267731-35","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 128,737","460","Diraz","RB","1","26"
"1746267731-36","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 139,954","591","Budaiya","RB","1","22"
"1746267731-37","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 169,533","630","Shakhura","RB","1","25"
"1746267731-38","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 125,508","530","Budaiya","RB","1","22"
"1746267731-39","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 100,102","376.2","Budaiya","RHA","2","24.7"
"1746267731-40","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 141,633","438.6","Al Qurayyah","RB","1","30"
"1746267731-41","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 86,909","367","Nuranah","RA","1","22"
"1746267731-42","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 171,535","531.2","Sar","RA","1","30"
"1746267731-43","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 89,906","257","Al Qurayyah","RHB","1","32.5"
"1746267731-44","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 165,981","514","Shakhura","RB","1","30"
"1746267731-45","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 138,000","485","Janabiyah","B3","1","26.4"
"1746267731-46","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 129,168","1000","Ras Zuwaid","LD","1","12"
"1746267731-47","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 120,002","456.1","Nabih Saleh","SP","1","24.4"
"1746267731-48","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 198,128","876.5","Hamalah","RA","1","21"
"1746267731-49","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 134,903","447.6","Diraz","RB","2","28"
"1746267731-50","https://bahrainfinder.bh/en/search-results/page/123/?type%5B0%5D=land&status%5B0%5D","BD 113,685","377.2","Barbar","RHA","2","28"
"1746267734-51","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 44,925","81.2","Al Naim","RHB","1","51.4"
"1746267734-52","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 330,025","568","Hidd","BD","2","54"
"1746267734-53","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 867,309","1465","Hidd","BC","2","55"
"1746267734-54","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 82,409","255.2","Hamalah","RHA","2","30"
"1746267734-55","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 150,002","390","Salmabad","RB","1","35.7"
"1746267734-56","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 204,311","703","A'ali","RA","1","27"
"1746267734-57","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 146,287","424.7","Buqwa","RA","2","32"
"1746267734-58","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 137,745","399.9","Buqwa","RA","2","32"
"1746267734-59","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 117,000","304.3","Busaiteen","RB","1","35.7"
"1746267734-60","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 50,413","161.5","Hamalah","RHA","1","29"
"1746267734-61","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 54,251","168","Hamalah","RA","1","30"
"1746267734-62","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 140,399","431.9","Janabiyah","RB","1","30.2"
"1746267734-63","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 403,650","2500","Sar","RA","2","15"
"1746267734-64","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 135,000","692","Malkiya","RA","1","18.1"
"1746267734-65","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 55,000","126","Zallaq","RHB","2","40.6"
"1746267734-66","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 1,748,450","2499","Manama","BB","2","65"
"1746267734-67","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 550,904","3010.6","Karranah","RG","","17"
"1746267734-68","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 210,544","815","Tubli","RB","1","24"
"1746267734-69","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 160,921","553.7","Tubli","RB","2","27"
"1746267734-70","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 280,000","962","Busaiteen","RA","1","27"
"1746267734-71","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 215,280","800","Amwaj Island","SP","2","25"
"1746267734-72","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 267,675","1081.2","Al Qurayyah","RG","1","23"
"1746267734-73","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 668,714","887.5","Diplomatic Area","BA","1","70"
"1746267734-74","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 669,994","1482","Hidd","BC","1","42"
"1746267734-75","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 659,984","1021.9","Diplomatic Area","BA","2","60"
"1746267734-76","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 113,829","352.5","Shakhura","RB","1","30"
"1746267734-77","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 258,336","800","Amwaj Island","RA","1","30"
"1746267734-78","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 247,547","999.9","Jid Al Haj","BD","1","23"
"1746267734-79","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 79,941","276.6","Budaiya","RB","1","26.9"
"1746267734-80","https://bahrainfinder.bh/en/search-results/page/122/?type%5B0%5D=land&status%5B0%5D","BD 112,118","347.2","Tubli","RA","1","30"
"1746267736-81","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 106,499","329.8","Diyar Al Muharraq","RA","1","30"
"1746267736-82","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 136,229","452","Diyar Al Muharraq","RA","2","28"
"1746267736-83","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 202,363","752","Diyar Al Muharraq","RB","1","25"
"1746267736-84","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 268,540","924","Diyar Al Muharraq","RA","2","27"
"1746267736-85","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 157,482","504","Diyar Al Muharraq","SP","1","29"
"1746267736-86","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 120,001","358.1","Diraz","RB","2","31.1"
"1746267736-87","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 307,304","771.6","Bu Ghazal","RA","1","37"
"1746267736-88","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 50,413","161.5","Hamalah","RHA","1","29"
"1746267736-89","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 110,000","349.7","Salmabad","RB","1","29.2"
"1746267736-90","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 104,814","475","Ra's Hayyan","RA","2","20.5"
"1746267736-91","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 218,229","675.8","Hamalah","RA","1","30"
"1746267736-92","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 189,812","587.8","Riffa","RA","1","30"
"1746267736-93","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 131,000","453.1","Nuwaydirat","RB","1","28.9"
"1746267736-94","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 1,383,960","6767","Sanad","RA","2","19"
"1746267736-95","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 1,748,450","2499","Manama","BB","2","65"
"1746267736-96","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 626,266","895.1","Seef District","BD","2","65"
"1746267736-97","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 1,581,232","2260","Manama","BB","2","65"
"1746267736-98","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 2,848,316","4071","Manama","BB","2","65"
"1746267736-99","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 251,878","390","Hoora","BB","1","60"
"1746267736-100","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 298,701","925","Riffa","RB","1","30"
"1746267736-101","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 361,670","1120","Amwaj Island","SP","1","30"
"1746267736-102","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 252,760","796","Amwaj Island","SP","1","29.5"
"1746267736-103","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 271,737","765","Salmabad","LD","1","33"
"1746267736-104","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 55,000","107.7","Muharraq","Undefined","1","47.4"
"1746267736-105","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 165,000","216","Um Alhasam","B3","3","71"
"1746267736-106","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 256,831","917.7","Tubli","SP","1","26"
"1746267736-107","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 121,229","450.5","Busaiteen","B3*","1","25"
"1746267736-108","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 121,321","433.5","Tubli","RB","1","26"
"1746267736-109","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 145,292","397","Buqwa","RA","2","34"
"1746267736-110","https://bahrainfinder.bh/en/search-results/page/121/?type%5B0%5D=land&status%5B0%5D","BD 151,434","541.1","Dilmunia","SP","2","26"
"1746267738-111","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 200,578","716.7","Askar","B3*","3","26"
"1746267738-112","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 626,895","1456","Hidd","BC","1","40"
"1746267738-113","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 311,941","1380","Karzakkan","SP","1","21"
"1746267738-114","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 157,026","540.3","Hidd","B4","1","27"
"1746267738-115","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 548,533","1456","Hidd","BC","1","35"
"1746267738-116","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 464,520","1233","Hidd","BC","1","35"
"1746267738-117","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 395,254","765","Mahooz","B4","2","48"
"1746267738-118","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 593,780","1576.1","Hidd","SP","1","35"
"1746267738-119","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 170,000","542","Hidd","B4","2","29"
"1746267738-120","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 999,760","2064","Amwaj Island","SP","2","45"
"1746267738-121","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 235,002","863","Juffair","RHB","1","25.3"
"1746267738-122","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 3,960,614","24530","Hidd","BC","3","15"
"1746267738-123","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 118,352","343.5","Shakhura","RB","1","32"
"1746267738-124","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 168,125","488.1","Jablat Hibshi","RHB","2","32"
"1746267738-125","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 141,353","392","Tubli","RB","1","33.5"
"1746267738-126","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 201,428","891.1","Barbar","RG","1","21"
"1746267738-127","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 228,062","847.5","Jablat Hibshi","RB","1","25"
"1746267738-128","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 329,120","1274","Barbar","RG","2","24"
"1746267738-129","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 48,675","161.5","Hamalah","RHA","1","28"
"1746267738-130","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 461,184","779","Adliya","B3","1","55"
"1746267738-131","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 170,846","1024","Ras Zuwaid","LD","1","15.5"
"1746267738-132","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 160,117","619.8","Dilmunia","RA","2","24"
"1746267738-133","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 606,283","1522.3","Dilmunia","SP","1","37"
"1746267738-134","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 121,453","417.9","Sadad","RB","1","27"
"1746267738-135","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 134,903","447.6","Diraz","RB","2","28"
"1746267738-136","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 150,000","605.2","Sar","RB","2","23"
"1746267738-137","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 140,000","466.7","Sadad","RA","2","27.9"
"1746267738-138","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 106,623","360.2","Sadad","RB","2","27.5"
"1746267738-139","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 73,000","200.4","Damistan","RB","2","33.8"
"1746267738-140","https://bahrainfinder.bh/en/search-results/page/120/?type%5B0%5D=land&status%5B0%5D","BD 199,134","740","Diyar Al Muharraq","SP","1","25"
"1746267743-141","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 269,100","500","Um Alhasam","BC","1","50"
"1746267743-142","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 109,067","349.4","Hidd","RB","2","29"
"1746267743-143","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 109,067","349.4","Hidd","RB","2","29"
"1746267743-144","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 115,001","362.2","Al Eker","RA","1","29.5"
"1746267743-145","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 112,876","327.7","Diyar Al Muharraq","SP","1","32"
"1746267743-146","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 2,708,007","4193","Reef Island","S","1","60"
"1746267743-147","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 35,000","83.3","Muharraq","RHB","2","39"
"1746267743-148","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 119,501","396.5","Galali","RA","2","28"
"1746267743-149","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 153,710","510","Janabiyah","B3","1","28"
"1746267743-150","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 106,812","320.1","A'ali","RA","1","31"
"1746267743-151","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 271,253","450","Seef District","B3","1","56"
"1746267743-152","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 1,123,439","1491","Manama","RHB","3","70"
"1746267743-153","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 462,077","536.6","Manama","RHB","2","80"
"1746267743-154","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 208,604","842.6","Damistan","RG","2","23"
"1746267743-155","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 119,427","317","Janabiyah","B4","1","35"
"1746267743-156","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 233,609","943.6","Bani Jamrah","RA","2","23"
"1746267743-157","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 148,243","474.9","Riffa Al Shamali","RA","1","29"
"1746267743-158","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 85,305","317","Jidhafs","RB","1","25"
"1746267743-159","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 206,798","1601","Ras Zuwaid","LD","2","12"
"1746267743-160","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 148,243","474.9","Riffa Al Shamali","RA","1","29"
"1746267743-161","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 148,243","474.9","Riffa Al Shamali","RA","1","29"
"1746267743-162","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 273,820","565.3","Juffair","B4","1","45"
"1746267743-163","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 496,489","1025","Juffair","BB","1","45"
"1746267743-164","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 1,500","959","Juffair","BB","2","0.1"
"1746267743-165","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 90,000","279","Al Naim","RHB","1","29.9"
"1746267743-166","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 324,254","1506.2","Busaiteen","BC","1","20"
"1746267743-167","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 700,000","843.2","Hoora","BB","1","77"
"1746267743-168","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 635,894","984.6","Hoora","BB","2","60"
"1746267743-169","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 184,283","518.8","Hidd","B3","2","33"
"1746267743-170","https://bahrainfinder.bh/en/search-results/page/119/?type%5B0%5D=land&status%5B0%5D","BD 132,836","685.6","Sadad","RB","1","18"
"1746267747-171","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 140,147","542.5","Malkiya","RA","1","24"
"1746267747-172","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 904,327","6001","Ras Zuwaid","LD","2","14"
"1746267747-173","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 175,292","1163.3","Ras Zuwaid","LD","2","14"
"1746267747-174","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 349,970","2501","Ras Zuwaid","LD","1","13"
"1746267747-175","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 247,292","1641","Ras Zuwaid","LD","2","14"
"1746267747-176","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 211,426","1403","Ras Zuwaid","LD","1","14"
"1746267747-177","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 641,664","4258","Ras Zuwaid","LD","2","14"
"1746267747-178","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 143,807","334","Jidhafs","RB","2","40"
"1746267747-179","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 132,612","308","Jidhafs","RB","2","40"
"1746267747-180","https://bahrainfinder.bh/en/search-results/page/118/?type%5B0%5D=land&status%5B0%5D","BD 93,000","259.1","Jannusan","RHA","3","33.3"
